Valik Palica Oleksandrovich
Фарина Віталіна Парамонівна
Кожухівська Марія Гаріівна
Русан Гурій Захарович
Гресько Нісон Богданович
Леонович Олесь Ростиславович
Грудзевич Яромир Антонович
Гранатюк Алевтина Данилоівна
Перепелиц Оскар Миронович
Пятаченко Семен Петрович
Яцишен Соломія Наумівна
Пастушак Руслан Рафаїлович
Зіядінов Яна Володимирівна
Тимохін Філіппіна Адольфівна
Курах Лук'ян Гавриїлович
Дроздов Інокентій Михайлоович
Дроботенко Емма Арсеніївна
Малютін Ясон Федірович
Хряпа Фаїна Петрівна
Злий Вікентій Вітольдович
Четвертак Ясен Ростиславович
Сотніченко Неллі Олегівна
Чопенко Віолета Миколівна
Миколюк Геннадій Гавриїлович
Черниченко Інокентій Петрович
Слонь Устінья Арнольдівна
Глуханюк Олексій Валерійович
Куденко Кіра Людвігівна
Пуга Ясна Миронівна
Ярославський Василь Карлович
Савшак Святослав Опанасович
Бочкур Семен Людвігович
Бабічев Ярема Мартінович
Ніколайчук Бенедикт Леонардович
Гривул Лук'ян Леонардович
Малов Олексій Олексійович
Гребінник Мстислав Альбертович
Вольвач Давид Гурійович
Мельников Ігнатій Глібович
Салоїд Денис Юрійович
Семерак Модест Максиміліанович
Сушицька Олександра Мартінівна
Гудак Юлій Гавриїлович
Сегеда Агнія Богданівна
Капітан Герман Богданович
Гаврищук Дмитро Валентинович
Магаляс Іраклій Максимович
Червоний Олексій Станіславович
Багацька Валерія Овідіївна
Солопов Денис Платонович
Ярмак Парамон Федірович
Федчишин Сабіна Мирославівна
Волошенко Інара Інокентіївна
Доротюк Рудольф Артурович
Гарасимчук Агнія Кирилоівна
Невмержицький Тихон Макарович
Коробченко Василь Рафаїлович
Чучук Вікентій Артурович
Перехрестенко Олександр Лук'янович
Сотник Леонід Вадимович
Карелова Агнія Костянтинівна
Гафаров Ніка Парамонівна
Семанишин Михайло Германович
Гошко Устінья Анатоліївна
Коломоєць Памфіл Севастіанович
Липа Ліана Тихонівна
Грицишин Мирон Мирославович
Ліщук Федот Миронович
Дядя Герасим Данилоович
Степанко Олесь Степанович
Федоряк В'ячеслав Людвігович
Слонь Борис Ілліч
Каленченко Борис Степанович
Максимович Святослава Севастіанівна
Казаченко Руслан Орестович
Кириллов Ісак Семенович
Негря Дональд Гордейович
Безпрозванна Михайлина Натанівна
Покась Броніслава Михайлоівна
Приймак Стефанія Віссаріонівна
Гетманець Фелікс Натанович
Чепак Сергій Степанович
Сідорук Наталя Рудольфівна
Гуцман Святослав Артемійович
Малих Ігор Артемович
Холодна Одарка Леонардівна
Блинова Глорія Наумівна
Проноза Аліса Степанівна
Гнатів Архип Прокофійович
Куземко Лук'ян Костянтинович
Колобов Велор Янович
Нємцев Євгеній Дмитрович
Лазар Лазар Броніславович
Муренко Галактіон Болеславович
Войтов Харіта Веніамінівна
Мохорук Парамон Галактіонович
Алтухов Анжела Григоріївна
Абакумова Таїра Миколівна
Пшеничко Максиміліан Ігнатійович
Клешня Євдоким Осипович
Маслюков Йосип Лазарович
Косовець Олександр Артурович
Чайчук Данута Рафаїлівна
Кирилів Ганна Марківна
Васильчик Галактіон Гаріович
Горілий Людвіг Рудольфович
Пась Мечислав Тімурович
Левицька Сесілія Степанівна
Разкевич Діана Парамонівна
Стахурський Матвей Натанович
Сурмачевська Діна Данилоівна
Парфенюк Бенедикт Данилоович
Шевкопляс Юліан Богданович
Салі Вольдемар Самсонович
Ліштван Семен Романович
Пирогова Альбіна Людвігівна
Лукянович Борис Мстиславович
Горішня Опанас Климович
Петля Павло Платонович
Федас Уляна Тарасівна
Лісовенко Терентьєв Артемійович
Токарський Донат Матвейович
Шпортюк Антон Опанасович
Горохівський Рубен Фомович
Райтер Ясен Феліксович
Лой Ясон Парамонович
Левіцький Севастіан Болеславович
Шпичко Сергій Фомович
Васкан Аріадна Велорівна
Василаш Клим Ростиславович
Ворушило Аврора Мойсеївна
Гірчак Артем Федірович
Тарахтій Дональд Федотович
Байрак Тихон Архипович
Колпакова Мілена Віталіївна
Ракоча Аліса Вікторівна
Глущик Орест Орестович
Островерх Вадим Максиміліанович
Дроботун Устінья Юліївна
Бурейко Лариса Парамонівна
Кулиняк Аврора Іракліївна
Турчин Юлій Адамович
Гонтарюк Іраїда Рубенівна
Парасунько Леонтій Юхимович
Баканов Данило Іванович
Неділько Віолета Веніамінівна
Гаврелюк Олеся Фомівна
Маланчук Стефанія Петрівна
Рубан Карл Юрійович
Слободанюк Прокофій Омелянович
Оселедько Орест Осипович
Наріжний Іраклій Анатолійович
Триль Владислав Ігнатійович
Рукавиця Роберт Гаріович
Ренгач Яків Ясонович
Данілейко Мечислав Максимович
Шабаш Віктор Велорович
Коптєв Май Ельдарович
Петюх Олександр Денисович
Чайчук Ангеліна Іракліївна
Микитишин Калерія Адріанівна
Худенко Захар Орестович
Супрунюк Роман Романович
Легенький Альберт Оскарович
Новохатня Опанас Клементович
Дамян Прохор Корнилійович
Коркіна Рената Семенівна
Білокриницький Май Тарасович
Черната Олена Захарівна
Бардаченко Ісак Кузьмович
Чабак Едуард Корнилійович
Корнілов Дональд Оскарович
Удалов Людмила Аркадіївна
Безруков Микита Велорович
Узбек Гавриїл Микитович
Меленчук Кирило Владиславович
Федончук Валерій Адольфович
Рибась Давид Феліксович
Сухаренко Опанас Корнилійович
Рибальченко Святослав Ярославович
Турчина Євгенія Нісонівна
Коржов Клемент Родіонович
Бакулін Лілія Порфиріївна
Зоря Галактіон Овідійович
Хованець Алла Памфілівна
Кальний Лук'ян Данилоович
Заславський Карл Опанасович
Ходун Герасим Степанович
Ломака Гелла Донатівна
Буйна Ольга Костянтинівна
Нужненко Порфирій Вадимович
Жилінський Клим Рубенович
Чуняк Ясен Артемович
Золотухін Олеся Аркадіївна
Зирянов Станіслав Порфирійович
Шадрін Клара Никанорівна
Петков Адольф Ясенович
Любецька Елла Георгіївна
Семерня Модест Маркович
Лах Галактіон Опанасович
Белік Таїра Гаріівна
Кричун Карина Робертівна
Повержук Нісон Орестович
Подоляк Назар Корнилійович
Марочко Вітольд Нісонович
Гаврилишин Олексій Архипович
Данько Фаддей Арсенійович
Телешман Клемент Вадимович
Світличний Вальтер Климович
Кокоша Таїра Кондратівна
Козуля Сергій Віталійович
Божок Степан Васильович
Личак Корнилій Валентинович
Стахурська Аза Веніамінівна
Гаюк Іраклій Фаддейович
Перун Аристарх Георгійович
Грицун Клавдія Юліанівна
Остапчук Костянтин Клементович
Угрин Глафіра Альбертівна
Тіщенко Аврам Андрійович
Трембовецький Іларіон Яромирович
Нечепорук Платон Бенедиктович
Антоненко Гарі Тимофійович
Семеніхін Данило Вікентійович
Кабаль Віллі Мечиславович
Бородкін Петро Адріанович
Сергійчук Веніамін Аврамович
Стрикун Поліна Ігорівна
Рогатин Леонід Олегович
Купчак Олеся Осипівна
Пахолюк Матвей Євдокимович
Білоконенко Володимир Юрійович
Шитик Олег Юхимович
Децик Майя Архипівна
Полюхович Самуїл Русланович
Туркевич Олексій Левович
Приходько Віталій Робертович
Лобойко Микита Вітольдович
Григорян Марта Сергіївна
Теодорович Овідій Максиміліанович
Світлик Артур Вікентійович
Гундяк Сусанна Лук'янівна
Яцків Галактіон Никанорович
Остапченко Уляна Георгіївна
Хмелик Валентина Адамівна
Курта Клара Олексіївна
Шафорост Юлій Лазарович
Лучин Леонтій Іраклійович
Фірман Лариса Юліанівна
Глазунов Галактіон Рудольфович
Проданчук Філіппіна Аристархівна
Горкун Дмитро Максимович
Хомутовська Неллі Євгеніївна
Черток Ігнатій Гавриїлович
Сердечний Артур Миронович
Настас Рудольф Феліксович
Бульбук Фома Олексійович
Карабін Борис Лазарович
Томашук Астра Гавриїлівна
Боярчук Вадим Тарасович
Морозовський Вальтер Віссаріонович
Бужора Зінаїда Тихонівна
Головешко Роман Ілліч
